"MasterId","Property Type","Name","Address1","Address2","Address3","City","County","State","StateCode","PostalCode","Country","CountryCode","Combined_Address","Split_Indicator","Split_From_Row","Split_Address_Number","Combined_Address_standardized_formatted","Combined_Address_standardized_street_number","Combined_Address_standardized_street_name","Combined_Address_standardized_street_type","Combined_Address_standardized_unit_type","Combined_Address_standardized_unit_number","Combined_Address_standardized_city","Combined_Address_standardized_state","Combined_Address_standardized_postal_code","Combined_Address_standardized_country","Combined_Address_standardized_country_code","Combined_Address_standardized_district","Combined_Address_standardized_region","Combined_Address_standardized_suburb","Combined_Address_standardized_locality","Combined_Address_standardized_sublocality","Combined_Address_standardized_canton","Combined_Address_standardized_prefecture","Combined_Address_standardized_oblast","Combined_Address_standardized_confidence","Combined_Address_standardized_issues","Combined_Address_standardized_status","Combined_Address_standardized_api_source","Combined_Address_standardized_latitude","Combined_Address_standardized_longitude","Combined_Address_standardized_address_id","Combined_Address_standardized_from_cache"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","95624 Iron Rock Way","Yes","2","5 of 6","95624 Iron Rock Way","95624","Iron Rock","Way","","","Elk Grove","California","94624","","","","","","","","","","","low","postal_code_missing, ambiguous_city, ambiguous_state, ambiguous_country","success","azure_openai_batch_enhanced_by_nominatim","38.3840268","-121.3593231","","No"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","United States","Yes","2","6 of 6","United States","","","","","","","","","United States","USA","","","","","","","","","unknown","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","39.78373040","-100.44588200","831","Yes"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","0","Yes","3","1 of 9","","","","","","","","Pichincha","","","","","","","","","","","","unknown","address_missing","success","azure_openai_enhanced_by_nominatim_cached","-0.05848930","-78.32843710","104","Yes"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","19","Yes","3","2 of 9","19","19","","","","","","Nouvelle-Aquitaine","","","","","","","","","","","","low","postal_code_missing, ambiguous_street_name, ambiguous_city, ambiguous_state, ambiguous_country","success","azure_openai_batch_enhanced_by_nominatim","45.3429047","1.8176424","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","20","Yes","3","3 of 9","20","20","","","","","","","","","","","","","","","","","","low","postal_code_missing, ambiguous_street_name, ambiguous_city, ambiguous_state, ambiguous_country","success","azure_openai_batch_enhanced_by_nominatim","69.9697735","24.7685788","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","97","Yes","3","4 of 9","97","97","篠山三和線","","","","丹波篠山市","","699-2799","","","","","","","","","","","low","incomplete_address","success","azure_openai_batch_enhanced_by_nominatim","35.0982802","135.1754931","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","105 Morrisville Plaza","Yes","3","5 of 9","105 Morrisville Plaza","105","Morrisville","Plaza","","","Morristown","Vermont","05661","","","","","","","","","","","low","city_missing, state_missing, postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","44.5743055","-72.5909909","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Morristown","Yes","3","6 of 9","Morristown","","","","","","Morristown","New Jersey","","","","","","","","","","","","low","state_missing, postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","40.7970382","-74.4809868","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Vermont","Yes","3","7 of 9","Vermont, United States","","","","","","","Vermont","","United States","USA","","","","","","","","","low","city_missing, postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","44.5990718","-72.5002608","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","5661 Morrisville Plaza","Yes","3","8 of 9","5661 Morrisville Plaza","5661","Morrisville","Plaza","","","Morristown","Vermont","05661","","","","","","","","","","","low","city_missing, state_missing, postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","44.5742032","-72.5917415","","No"
"2532669","Retail","Morrisville Plaza","0, 19, 20, 97 & 105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","United States","Yes","3","9 of 9","United States","","","","","","","","","United States","USA","","","","","","","","","unknown","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","39.78373040","-100.44588200","831","Yes"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","14942","Yes","4","1 of 6","14942","","","","","","시흥시","","14942","","","","","","","","","","","low","ambiguous_address","success","azure_openai_batch_enhanced_by_nominatim_simplified","37.4095293","126.8170353","","No"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","15012 South Post Oak Road","Yes","4","2 of 6","15012 South Post Oak Road, Houston, Texas, United States","15012","South Post Oak","Road","","","Houston","Texas","77053","United States","USA","","South","","","","","","","medium","postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","29.6086504","-95.4650187","834","No"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","Houston","Yes","4","3 of 6","Houston, Texas, United States","","","","","","Houston","Texas","","United States","USA","","South","","","","","","","medium","postal_code_missing, incomplete_address","success","azure_openai_batch_enhanced_by_nominatim","29.7589382","-95.3676974","835","No"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","Texas","Yes","4","4 of 6","Texas, United States","","","","","","","Texas","","United States","USA","","South","","","","","","","medium","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","31.26389050","-98.54561160","829","Yes"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","77053 South Post Oak Road","Yes","4","5 of 6","77053 South Post Oak Road, Houston, Texas, 77053, United States","77053","South Post Oak","Road","","","Houston","Texas","77053","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","29.6058901","-95.4601721","836","No"
"2532627","Industrial","Two Building Industrial Property","14942 and 15012 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","United States","Yes","4","6 of 6","United States","","","","","","","","","United States","USA","","","","","","","","","unknown","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","39.78373040","-100.44588200","831","Yes"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","328","Yes","5","1 of 6","328","328","","","","","","محافظة جنوب الباطنة","328","","","","","","","","","","","low","incomplete_address","success","azure_openai_batch_enhanced_by_nominatim","23.6601393","57.9317610","","No"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","348 14th Street NW","Yes","5","2 of 6","348 14th Street NW, Atlanta, Georgia, United States","348","14th","Street","","","Atlanta","Georgia","30318","United States","USA","","South","","","","","","","medium","postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","33.7858756","-84.3983174","837","No"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","Atlanta","Yes","5","3 of 6","Atlanta, Georgia, United States","","","","","","Atlanta","Georgia","","United States","USA","","South","","","","","","","medium","incomplete_address, postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim","33.7544657","-84.3898151","838","No"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","Georgia","Yes","5","4 of 6","Georgia","","","","","","","Georgia","","Georgia","GEO","","","","","","","","","low","insufficient_address_components","success","azure_openai_batch_enhanced_by_nominatim","32.3293809","-83.1137366","","No"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","30318 14th Street NW","Yes","5","5 of 6","30318 14th Street NW, Atlanta, Georgia, 30318, United States","30318","14th","Street","","","Atlanta","Georgia","30318","United States","USA","","","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","33.7859449","-84.4096724","839","No"
"2532619","Retail","Association Motor Club","328 & 348 14th Street NW","","","Atlanta","Fulton","Georgia","GA","30318","United States","US","United States","Yes","5","6 of 6","United States","","","","","","","","","United States","USA","","","","","","","","","unknown","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","39.78373040","-100.44588200","831","Yes"
