id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
23,"7RDC    ,Geneva,CHE","GOLDMAN SACHS, One Centenary Way_x000D_
 _x000D_
 _x000D_,BIRMINGHAM,B3 3HJ,GBR","7 Rue du Commerce, Geneva, 1204, Switzerland","Goldman Sachs, One Centenary Way, Birmingham, B3 3HJ, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:54.064987,success
24,"Ru de la Confederation 7 PO Box 3666; 1211 Geneva 3. Switzerland  ,Geneva,1211,CHE","Rue de la Confederation 8

1211 Geneve
%1,Geneve,1211,CHE","7 Rue de la Confederation, PO Box 3666, 1211 Geneva 3, Switzerland","8 Rue de la Confederation, 1211 Geneva, Switzerland",VERY_LIKELY_SAME,85,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:54.064987,success
25,"Claridenstrasse 25 8021 Zurich, Switzerland  ,Zurich,8021,CHE","GOLDMAN SACHS, One Centenary Way_x000D_
 _x000D_
 _x000D_,BIRMINGHAM,B3 3HJ,GBR","25 Claridenstrasse, Zurich, 8021, Switzerland","Goldman Sachs, One Centenary Way, Birmingham, B3 3HJ, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:54.064987,success
26,"Rothausstrasse 61,Muttenz,4132,CHE","Lichtstrasse 35_x000D_
 _x000D_
 _x000D_,Basel,4056,CHE","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland","Lichtstrasse 35, Basel, 4056, Basel-Stadt, Switzerland",NO_MATCH,20,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:14.546140,success
27,"Brandschenkestrass 110,Zürich,8002,CHE","Strahlenbergerstrasse 110-112
63067 Offenbach
%1,Offenbach,63067,DEU","Brandschenkestrasse 110, Zürich, 8002, Zürich, Switzerland","Strahlenbergerstrasse 110-112, Offenbach, 63067, Hesse, Germany",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:14.546140,success
28,"Neuhofstrasse 4,Baar,6340,CHE","_x000D_
 _x000D_
Oostpolder 4_x000D_,EEMSHAVEN,9979 XT,NLD","Neuhofstrasse 4, Baar, 6340, Zug, Switzerland","Oostpolder 4, Eemshaven, 9979 XT, Groningen, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:14.546140,success
29,"Gloriastrasse 35,Zürich,8092,CHE","Lichtstrasse 35_x000D_
 _x000D_
 _x000D_,Basel,4056,CHE","Gloriastrasse 35, Zürich, 8092, Zürich, Switzerland","Lichtstrasse 35, Basel, 4056, Basel-Stadt, Switzerland",NO_MATCH,20,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:14.546140,success
30,"Gubelstrasse 36,Zug,6300,CHE","_x000D_
Fokkerweg 300_x000D_
 _x000D_,Fokkerweg 300,Oude meer,1438 AN,NLD","Gubelstrasse 36, Zug, 6300, Zug, Switzerland","Fokkerweg 300, Oude Meer, 1438 AN, North Holland, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:14.546140,success
31,"CH-ZRH-130    ,Zurich,8002,CHE","_x000D_
Insulindelaan 130_x000D_
Noord-Brabant_x000D_,Insulindelaan 130,EINDHOVEN,5613 BT,NLD","130 Zurich, Zurich, 8002, Switzerland","Insulindelaan 130, Eindhoven, Noord-Brabant, 5613 BT, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:33.282743,success
32,"CH-ZRH-BAER25    ,Zurich,8001,CHE","19/20 Cornhill, Lincoln
LN5 7HD
%1,LN5 7HD,GBR","BAER25 Zurich, Zurich, 8001, Switzerland","19/20 Cornhill, Lincoln, Lincolnshire, LN5 7HD, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:33.282743,success
33,"CH-ZRH-BRA150    ,Zurich,8002,CHE","_x000D_
Kesterenlaan 150_x000D_
Noord-Brabant_x000D_,Kesterenlaan 150,BREDA,4822 WK,NLD","BRA150 Zurich, Zurich, 8002, Switzerland","Kesterenlaan 150, Breda, Noord-Brabant, 4822 WK, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:33.282743,success
34,"CH-ZRH-ERST1    ,Zurich,8004,CHE","19/20 Cornhill, Lincoln
LN5 7HD
%1,LN5 7HD,GBR","ERST1 Zurich, Zurich, 8004, Switzerland","19/20 Cornhill, Lincoln, Lincolnshire, LN5 7HD, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:33.282743,success
35,"CH-ZRH-EURA1    ,Zurich,8004,CHE","19/20 Cornhill, Lincoln
LN5 7HD
%1,LN5 7HD,GBR","EURA1 Zurich, Zurich, 8004, Switzerland","19/20 Cornhill, Lincoln, Lincolnshire, LN5 7HD, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:33.282743,success
36,"CH-ZRH-EURF    ,Zurich,8004,CHE","19/20 Cornhill, Lincoln LN5 7HD %1,LN5 7HD,GBR","Zurich, 8004, Zurich, Switzerland","19/20 Cornhill, Lincoln, LN5 7HD, Lincolnshire, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:51.885820,success
37,"CH-ZRH-EURG    ,Zurich,8004,CHE","Herculesweg 8 4338 PL Middelburg Netherlands,Middelburg,4338PL,NLD","Zurich, 8004, Zurich, Switzerland","Herculesweg 8, 4338 PL Middelburg, Zeeland, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:51.885820,success
38,"CH-ZRH-KAL1    ,Zurich,8045,CHE","19/20 Cornhill, Lincoln LN5 7HD %1,LN5 7HD,GBR","Zurich, 8045, Zurich, Switzerland","19/20 Cornhill, Lincoln, LN5 7HD, Lincolnshire, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:51.885820,success
39,"Talstrasse 1-9,Münchenbuchsee,3053,CHE","Vulkanstrasse 106 8048 Zürich %1,Zürich,8048,CHE","Talstrasse 1-9, 3053 Münchenbuchsee, Bern, Switzerland","Vulkanstrasse 106, 8048 Zürich, Zurich, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:51.885820,success
40,"Rothausstrasse 61,Muttenz,4132,CHE","Lichtstrasse 35_x000D_ _x000D_ _x000D_,Basel,4056,CHE","Rothausstrasse 61, 4132 Muttenz, Basel-Landschaft, Switzerland","Lichtstrasse 35, 4056 Basel, Basel-Stadt, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:32:51.885820,success
41,"Movarco Building, 3rd Floor, Route Jo-Siffert 4    ,Givisiez,1762,CHE","Movarco Building, 3rd Floor, Route Jo-Siffert 4,1762,CHE","Movarco Building, 3rd Floor, Route Jo-Siffert 4, Givisiez, 1762, Switzerland","Movarco Building, 3rd Floor, Route Jo-Siffert 4, Givisiez, 1762, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:11.438889,success
42,"1st floor Javastrasse 2 (HBS)    ,Volketswil,8604,CHE","1st floor Javastrasse 2 (HBS),8003,CHE","1st Floor, Javastrasse 2 (HBS), Volketswil, 8604, Switzerland","1st Floor, Javastrasse 2 (HBS), Zurich, 8003, Switzerland",DIFFERENT,10,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:11.438889,success
43,"Gubelstrasse 24 Park Tower  ,Zug,6300,CHE","Baarerstrasse 96 Zug
%1,GBR","Gubelstrasse 24, Park Tower, Zug, 6300, Switzerland","Baarerstrasse 96, Zug, Switzerland",DIFFERENT,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:11.438889,success
44,"Via Penate 4    ,Mendriso,6987,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","Via Penate 4, Mendrisio, 6987, Switzerland","Blarenberglaan 2, Mechelen, 2800, Belgium",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:11.438889,success
45,"Neue Winterthurerstr. 99    ,Wallisellen,8304,CHE","Van-der-Smissen-Str. 9, Hamburg,22767,DEU","Neue Winterthurerstrasse 99, Wallisellen, 8304, Switzerland","Van-der-Smissen-Strasse 9, Hamburg, 22767, Germany",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:11.438889,success
46,"Klausstrasse 4, 8008 Zurich    ,Zurich,8008,CHE","Klausstrasse 4, 8008 Zurich, Switzerland,8008,SWZ","Klausstrasse 4, 8008 Zurich, Zurich, 8008, Switzerland","Klausstrasse 4, 8008 Zurich, Zurich, 8008, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:33.025105,success
47,"Uraniastrasse 9    ,Zurich,8002,CHE","Uraniastr. 9,8001,CHE","Uraniastrasse 9, Zurich, 8002, Switzerland","Uraniastrasse 9, Zurich, 8001, Switzerland",POSSIBLY_RELATED,65,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:33.025105,success
48,"Uraniastrasse 9,Zürich,8001,CHE","Uraniastr. 9,8001,CHE","Uraniastrasse 9, Zurich, 8001, Switzerland","Uraniastrasse 9, Zurich, 8001, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:33.025105,success
49,"Quai de la Poste 2    ,Genève,1204,CHE","_x000D_
 _x000D_
Oval Tower De Entree 195_x000D_,Amsterdam,1101 HE,NLD","Quai de la Poste 2, Geneva, 1204, Switzerland","Oval Tower De Entree 195, Amsterdam, 1101 HE, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:33.025105,success
50,"Geneva, Place Des Bergues 3, Rue Kleberg 8-12    ,Geneva,1201,CHE","Place des Bergues 3, Rue Kleberg 8-12,CH-1201,CHE","Place Des Bergues 3, Rue Kleberg 8-12, Geneva, 1201, Switzerland","Place Des Bergues 3, Rue Kleberg 8-12, Geneva, 1201, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:33.025105,success
51,"29 Route De l'Aroport Case Postale 216,Le Grand-Saconnex,1218,CHE","81 route de Florissant, CH 1206 Geneva %1,Geneva,1206,CHE","29 Route De l'Aeroport, Case Postale 216, Le Grand-Saconnex, Geneva, 1218, Switzerland","81 Route de Florissant, Geneva, 1206, Switzerland",DIFFERENT_BUT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:52.712181,success
52,"V Parku 2325/16, 14800 Prague 3rd & 4th floor,Prague,8005,CHE","V Parku 2326/18,148 00,CZE","V Parku 2325/16, 14800 Prague, Czech Republic","V Parku 2326/18, 14800 Prague, Czech Republic",DIFFERENT_AREAS,10,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:52.712181,success
53,"29 Route De l'Aeroport ,Geneva,1215,CHE","Route de Saint Julien 7/9,1227,CHE","29 Route De l'Aeroport, Geneva, 1215, Switzerland","Route de Saint Julien 7/9, Geneva, 1227, Switzerland",DIFFERENT_BUT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:52.712181,success
54,"Bärengasse 29,Zürich,8001,CHE","Hardstrasse 201,8005,CHE","Bärengasse 29, Zürich, 8001, Switzerland","Hardstrasse 201, Zürich, 8005, Switzerland",DIFFERENT_BUT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:52.712181,success
55,"Picassoplatz 8 ,Basel,4051,CHE","Rosentalstrasse 67, 4058 Basel,CH","Picassoplatz 8, Basel, 4051, Switzerland","Rosentalstrasse 67, Basel, 4058, Switzerland",DIFFERENT_BUT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:33:52.712181,success
56,"Route d'Oron 79    ,Lausanne,1010,CHE","Route d'Ohain 3

1380 LASNE
%1,LASNE,1380,BEL",,,ERROR,0,Processing error: 'addr1',error_fallback,2025-08-22T10:36:10.343177,error
57,"Wurmisweg 576,Kaiseraugst,4303,CHE","45 WATERVIEW BLVD_x000D_
 _x000D_
 _x000D_,PARISPPANY,07054,USA",,,ERROR,0,Processing error: 'addr1',error_fallback,2025-08-22T10:36:10.343177,error
58,"Schaffhauserstr. 101,Stein AG,4332,CHE","Schaffhauserstrasse_x000D_
 _x000D_
 _x000D_,Stein,4332,CHE",,,ERROR,0,Processing error: 'addr1',error_fallback,2025-08-22T10:36:10.343177,error
59,"Rte des Avouillons 32,Gland,1196,CHE","Route Des Avouillons 32_x000D_
 _x000D_
 _x000D_,Gland,1196,CHE",,,ERROR,0,Processing error: 'addr1',error_fallback,2025-08-22T10:36:10.343177,error
60,"Klybeckstrasse,Basel,4057,CHE","Klybeckstr. 141, P 15, WKL-1358
4057 Basel
%1,Basel,4057,CHE",,,ERROR,0,Processing error: 'addr1',error_fallback,2025-08-22T10:36:10.343177,error
61,"Rothausstrasse 61,Muttenz,4132,CHE","Rothausstrasse 61, 4132 Muttenz,CH","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:29.646917,success
62,"Attisholzstrasse 11    ,Luterbach,4542,CHE","Austraße 11
6250 Kundl
%1,Kundl,6250,AUT","Attisholzstrasse 11, Luterbach, 4542, Solothurn, Switzerland","Austraße 11, Kundl, 6250, Tyrol, Austria",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:29.646917,success
63,"Rothausstrasse 61,Pratteln,4133,CHE","Rothausstrasse 61, 4132 Muttenz,CH","Rothausstrasse 61, Pratteln, 4133, Basel-Landschaft, Switzerland","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:29.646917,success
64,"Flughaffenstrasse,Basel,4030,CHE",tbc,"Flughafenstrasse, Basel, 4030, Basel-Stadt, Switzerland",tbc,NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:29.646917,success
65,"Rue de la Tour de l’île 4    ,Genève,1204,CHE","Rue De La Tour-de-l'ile 4_x000D_
 _x000D_
 _x000D_,Genf,1204,CHE","Rue de la Tour de l’île 4, Genève, 1204, Geneva, Switzerland","Rue de la Tour de l’île 4, Genève, 1204, Geneva, Switzerland",IDENTICAL,95,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:29.646917,success
66,"Geneva,1219,CHE","FAO: AP
101 Knightsbridge
London
SW1X 7RN
%1,SW1X 7RN,GBR","Geneva, 1219, Switzerland","101 Knightsbridge, London, SW1X 7RN, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:48.615880,success
67,"Rue des Moulieres 1242    ,Geneva,CHE","Route des Moulières 6, 1217 Meyrin IRM,CHE","Rue des Moulieres 1242, Geneva, Switzerland","Route des Moulières 6, 1217 Meyrin, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:48.615880,success
68,"Route de la Maison, Caree 1242    ,Satigny,CHE","Route de la Maison-Carrée 31,CHE","Route de la Maison-Carrée 1242, Satigny, Switzerland","Route de la Maison-Carrée 31, Switzerland",POSSIBLY_RELATED,50,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:48.615880,success
69,"24 AVENUE DE PROVENCE, 1007     ,Lausanne,CHE","Avenue de Provence 10-12,CHE","24 Avenue de Provence, 1007 Lausanne, Switzerland","Avenue de Provence 10-12, Lausanne, Switzerland",PROBABLY_SAME,70,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:48.615880,success
70,"Uferstrasse 70. 4057    ,Basel,CHE","Uferstrasse 70. 4057,CHE","Uferstrasse 70, 4057 Basel, Switzerland","Uferstrasse 70, 4057 Basel, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:36:48.615880,success
71,"Rudolf Dieselstr. 25    ,Winterthur,8404,CHE","Rudolf Dieselstr. 25,CHE","Rudolf Dieselstrasse 25, Winterthur, 8404, Zurich, Switzerland","Rudolf Dieselstrasse 25, Winterthur, 8404, Zurich, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:07.323884,success
72,"Route de la Maison-carrée 31    ,Satigny,1242,CHE","Route de la Maison-Carrée 31,CHE","Route de la Maison-Carrée 31, Satigny, 1242, Geneva, Switzerland","Route de la Maison-Carrée 31, Satigny, 1242, Geneva, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:07.323884,success
73,"Obere Ey 4    ,Dulliken,4657,CHE","Obere Ey 4,CHE","Obere Ey 4, Dulliken, 4657, Solothurn, Switzerland","Obere Ey 4, Dulliken, 4657, Solothurn, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:07.323884,success
74,"Rue des Moulieres 1242    ,Geneva,CHE","Route des Moulières 6, 1217 Meyrin IRM,CHE","Rue des Moulieres, Geneva, 1242, Geneva, Switzerland","Route des Moulières 6, Meyrin, 1217, Geneva, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:07.323884,success
75,"Route de la Maison, Caree 1242    ,Satigny,CHE","Route de la Maison-Carrée 31,CHE","Route de la Maison-Carrée, Satigny, 1242, Geneva, Switzerland","Route de la Maison-Carrée 31, Satigny, 1242, Geneva, Switzerland",VERY_LIKELY_SAME,85,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:07.323884,success
76,"Grubenstrauss 11-3322    ,Bern,CHE","Grubenstrauss 11-3322,CHE","Grubenstrasse 11-3322, Bern, Switzerland","Grubenstrasse 11-3322, Bern, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:27.328397,success
77,"Attisholzstrasse 11    ,Luterbach,4542,CHE","Austraße 11
6250 Kundl
%1,Kundl,6250,AUT","Attisholzstrasse 11, Luterbach, 4542, Switzerland","Austraße 11, Kundl, 6250, Austria",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:27.328397,success
78,"Hauptstrasse 4    ,Sisseln AG,4334,CHE","45 WATERVIEW BLVD_x000D_
 _x000D_
 _x000D_,PARISPPANY,07054,USA","Hauptstrasse 4, Sisseln, 4334, Switzerland","45 Waterview Boulevard, Parsippany, New Jersey, 07054, USA",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:37:27.328397,success
79,",NULL,CHE",,,,NO_MATCH,0,One or both addresses are empty,validation_check,2025-08-22T10:37:27.328397,empty_address
